Season,Date,Home Team,Away Team,Score
2019-2020,12:00,Espanyol,Athletic Bilbao,"1            

                1"
2019-2020,15:00,Valencia,Barcelona,"2            

                0"
2019-2020,17:30,Alaves,Villarreal,"1            

                2"
2019-2020,20:00,Sevilla,Granada,"2            

                0"
2019-2020,20:00,Osasuna,Levante,"2            

                0"
2019-2020,11:00,Real Mallorca,Valencia,"4            

                1"
2019-2020,13:00,Real Betis,Real Sociedad,"3            

                0"
2019-2020,15:00,Villarreal,Espanyol,"1            

                2"
2019-2020,17:30,Athletic Bilbao,Celta Vigo,"1            

                1"
2019-2020,20:00,Barcelona,Granada,"1            

                0"
2019-2020,12:00,Levante,Alaves,"0            

                1"
2019-2020,15:00,Real Madrid,Sevilla,"2            

                1"
2019-2020,17:30,Osasuna,Real Valladolid,"0            

                0"
2019-2020,20:00,Eibar,Atletico Madrid,"2            

                0"
2019-2020,20:00,Leganes,Getafe,"0            

                3"
2019-2020,11:00,Granada,Real Mallorca,"1            

                0"
2019-2020,13:00,Real Sociedad,Villarreal,"1            

                2"
2019-2020,15:00,Alaves,Real Betis,"1            

                1"
2019-2020,20:00,Celta Vigo,Osasuna,"1            

                1"
2019-2020,12:00,Valencia,Eibar,"1            

                0"
2019-2020,15:00,Getafe,Real Madrid,"0            

                3"
2019-2020,17:30,Atletico Madrid,Levante,"2            

                1"
2019-2020,20:00,Espanyol,Barcelona,"2            

                2"
2019-2020,18:00,Real Valladolid,Leganes,"2            

                2"
2019-2020,20:00,Sevilla,Athletic Bilbao,"1            

                1"
2020-2021,17:30,Granada,Getafe,"0            

                0"
2020-2021,20:00,Sevilla,Alaves,"1            

                0"
2020-2021,17:00,Celta Vigo,Real Betis,"2            

                3"
2020-2021,17:00,Eibar,Barcelona,"0            

                1"
2020-2021,17:00,Elche,Athletic Bilbao,"2            

                0"
2020-2021,17:00,Osasuna,Real Sociedad,"0            

                1"
2020-2021,17:00,Real Madrid,Villarreal,"2            

                1"
2020-2021,17:00,Real Valladolid,Atletico Madrid,"1            

                2"
2020-2021,17:00,SD Huesca,Valencia,"0            

                0"
2020-2021,20:00,Levante,Cadiz,"2            

                2"
2020-2021,17:30,Alaves,Granada,"4            

                2"
2020-2021,17:30,Athletic Bilbao,Real Madrid,"0            

                1"
2020-2021,17:30,Atletico Madrid,Osasuna,"2            

                1"
2020-2021,17:30,Barcelona,Celta Vigo,"1            

                2"
2020-2021,17:30,Cadiz,Elche,"1            

                3"
2020-2021,17:30,Getafe,Levante,"2            

                1"
2020-2021,17:30,Real Betis,SD Huesca,"1            

                0"
2020-2021,17:30,Real Sociedad,Real Valladolid,"4            

                1"
2020-2021,17:30,Valencia,Eibar,"4            

                1"
2020-2021,17:30,Villarreal,Sevilla,"4            

                0"
2020-2021,18:00,Real Valladolid,Villarreal,"0            

                2"
2020-2021,19:00,Eibar,Real Betis,"1            

                1"
2020-2021,21:00,Granada,Real Madrid,"1            

                4"
2020-2021,18:00,Sevilla,Valencia,"1            

                0"
2020-2021,19:00,Celta Vigo,Getafe,"1            

                0"
2020-2021,19:00,SD Huesca,Athletic Bilbao,"1            

                0"
2020-2021,21:00,Atletico Madrid,Real Sociedad,"2            

                1"
2020-2021,18:00,Osasuna,Cadiz,"3            

                2"
2020-2021,19:00,Elche,Alaves,"0            

                2"
2020-2021,21:00,Levante,Barcelona,"3            

                3"
2020-2021,20:00,Real Betis,Granada,"2            

                1"
2020-2021,13:00,Getafe,Eibar,"0            

                1"
2020-2021,15:15,Valencia,Real Valladolid,"3            

                0"
2020-2021,17:30,Villarreal,Celta Vigo,"2            

                4"
2020-2021,20:00,Real Madrid,Sevilla,"2            

                2"
2020-2021,13:00,Alaves,Levante,"2            

                2"
2020-2021,15:15,Barcelona,Atletico Madrid,"0            

                0"
2020-2021,17:30,Cadiz,SD Huesca,"2            

                1"
2020-2021,20:00,Athletic Bilbao,Osasuna,"2            

                2"
2020-2021,20:00,Real Sociedad,Elche,"2            

                0"
2020-2021,20:00,Sevilla,Athletic Bilbao,"0            

                1"
2020-2021,13:00,Real Valladolid,Real Betis,"1            

                1"
2020-2021,15:15,Villarreal,Getafe,"1            

                0"
2020-2021,17:30,Granada,Cadiz,"0            

                1"
2020-2021,20:00,Valencia,Barcelona,"2            

                3"
2020-2021,13:00,Eibar,Alaves,"3            

                0"
2020-2021,15:15,Elche,Atletico Madrid,"0            

                1"
2020-2021,17:30,SD Huesca,Real Sociedad,"1            

                0"
2020-2021,20:00,Real Madrid,Osasuna,"2            

                0"
2020-2021,20:00,Celta Vigo,Levante,"2            

                0"
2020-2021,18:00,Barcelona,Granada,"1            

                2"
2020-2021,18:00,Athletic Bilbao,Real Valladolid,"2            

                2"
2020-2021,20:00,Eibar,Real Sociedad,"0            

                1"
2020-2021,13:00,SD Huesca,Getafe,"0            

                2"
2020-2021,15:15,Villarreal,Barcelona,"1            

                2"
2020-2021,17:30,Celta Vigo,Osasuna,"2            

                1"
2020-2021,17:30,Sevilla,Granada,"2            

                1"
2020-2021,20:00,Athletic Bilbao,Atletico Madrid,"2            

                1"
2020-2021,13:00,Elche,Levante,"1            

                0"
2020-2021,15:15,Real Valladolid,Cadiz,"1            

                1"
2020-2021,17:30,Valencia,Alaves,"1            

                1"
2020-2021,20:00,Real Madrid,Real Betis,"0            

                0"
2020-2021,18:00,Atletico Madrid,SD Huesca,"2            

                0"
2020-2021,20:00,Granada,Eibar,"4            

                1"
2020-2021,20:00,Real Sociedad,Celta Vigo,"2            

                1"
2020-2021,21:00,Barcelona,Getafe,"5            

                2"
2020-2021,18:00,Levante,Sevilla,"0            

                1"
2020-2021,18:00,Osasuna,Valencia,"3            

                1"
2020-2021,19:00,Real Betis,Athletic Bilbao,"0            

                0"
2020-2021,20:00,Alaves,Villarreal,"2            

                1"
2020-2021,20:00,Elche,Real Valladolid,"1            

                1"
2020-2021,21:00,Cadiz,Real Madrid,"0            

                3"
2020-2021,13:00,Osasuna,Elche,"2            

                0"
2020-2021,13:00,Real Sociedad,Sevilla,"1            

                2"
2020-2021,15:15,Alaves,SD Huesca,"1            

                0"
2020-2021,15:15,Atletico Madrid,Eibar,"5            

                0"
2020-2021,17:30,Cadiz,Celta Vigo,"0            

                0"
2020-2021,17:30,Real Betis,Valencia,"2            

                2"
2020-2021,20:00,Getafe,Real Madrid,"0            

                0"
2020-2021,20:00,Levante,Villarreal,"1            

                5"
2020-2021,20:00,Celta Vigo,Sevilla,"3            

                4"
2020-2021,13:00,Villarreal,Osasuna,"1            

                2"
2020-2021,15:15,Valencia,Real Sociedad,"2            

                2"
2020-2021,17:30,Real Valladolid,Granada,"1            

                2"
2020-2021,20:00,Real Betis,Atletico Madrid,"1            

                1"
2020-2021,13:00,Getafe,Cadiz,"0            

                1"
2020-2021,15:15,Athletic Bilbao,Alaves,"0            

                0"
2020-2021,17:30,Eibar,Levante,"0            

                1"
2020-2021,20:00,Real Madrid,Barcelona,"2            

                1"
2020-2021,20:00,SD Huesca,Elche,"3            

                1"
2020-2021,20:00,Real Sociedad,Athletic Bilbao,"1            

                1"
2020-2021,20:00,Barcelona,Real Valladolid,"1            

                0"
2020-2021,13:00,Alaves,Celta Vigo,"1            

                3"
2020-2021,15:15,Elche,Real Betis,"1            

                1"
2020-2021,17:30,Cadiz,Valencia,"2            

                1"
2020-2021,20:00,Sevilla,Atletico Madrid,"1            

                0"
2020-2021,13:00,Granada,Villarreal,"0            

                3"
2020-2021,15:15,Real Madrid,Eibar,"2            

                0"
2020-2021,17:30,Osasuna,Getafe,"0            

                0"
2020-2021,20:00,Levante,SD Huesca,"0            

                2"
2020-2021,13:00,Getafe,Elche,"1            

                1"
2020-2021,15:15,Valencia,Granada,"2            

                1"
2020-2021,15:15,Villarreal,Cadiz,"2            

                1"
2020-2021,17:30,Atletico Madrid,Alaves,"1            

                0"
2020-2021,20:00,Real Sociedad,Barcelona,"1            

                6"
2020-2021,13:00,Athletic Bilbao,Eibar,"1            

                1"
2020-2021,15:15,Celta Vigo,Real Madrid,"1            

                3"
2020-2021,17:30,SD Huesca,Osasuna,"0            

                0"
2020-2021,20:00,Real Valladolid,Sevilla,"1            

                1"
2020-2021,20:00,Real Betis,Levante,"2            

                0"
2020-2021,18:00,Sevilla,Elche,"2            

                0"
2020-2021,20:00,Barcelona,SD Huesca,"4            

                1"
2020-2021,13:00,Celta Vigo,Athletic Bilbao,"0            

                0"
2020-2021,15:15,Granada,Real Sociedad,"1            

                0"
2020-2021,17:30,Eibar,Villarreal,"1            

                3"
2020-2021,20:00,Sevilla,Real Betis,"1            

                0"
2020-2021,13:00,Alaves,Cadiz,"1            

                1"
2020-2021,15:15,Real Madrid,Elche,"2            

                1"
2020-2021,17:30,Osasuna,Real Valladolid,"0            

                0"
2020-2021,20:00,Getafe,Atletico Madrid,"0            

                0"
2020-2021,20:00,Levante,Valencia,"1            

                0"
2020-2021,18:00,Atletico Madrid,Athletic Bilbao,"2            

                1"
2020-2021,20:00,Real Betis,Alaves,"3            

                2"
2020-2021,13:00,SD Huesca,Celta Vigo,"3            

                4"
2020-2021,15:15,Atletico Madrid,Real Madrid,"1            

                1"
2020-2021,17:30,Real Sociedad,Levante,"1            

                0"
2020-2021,20:00,Athletic Bilbao,Granada,"2            

                1"
2020-2021,13:00,Real Valladolid,Getafe,"2            

                1"
2020-2021,15:15,Elche,Sevilla,"2            

                1"
2020-2021,17:30,Cadiz,Eibar,"1            

                0"
2020-2021,20:00,Osasuna,Barcelona,"0            

                2"
2020-2021,20:00,Valencia,Villarreal,"2            

                1"
2020-2021,20:00,Real Madrid,Real Sociedad,"1            

                1"
2020-2021,13:00,Celta Vigo,Real Valladolid,"1            

                1"
2020-2021,15:15,Cadiz,Real Betis,"0            

                1"
2020-2021,17:30,Granada,Elche,"2            

                1"
2020-2021,20:00,Villarreal,Atletico Madrid,"0            

                2"
2020-2021,13:00,Eibar,SD Huesca,"1            

                1"
2020-2021,15:15,Sevilla,Barcelona,"0            

                2"
2020-2021,17:30,Alaves,Osasuna,"0            

                1"
2020-2021,20:00,Getafe,Valencia,"3            

                0"
2020-2021,20:00,Levante,Athletic Bilbao,"1            

                1"
2020-2021,18:00,Barcelona,Elche,"3            

                0"
2020-2021,20:00,Osasuna,Sevilla,"0            

                2"
2020-2021,13:00,Barcelona,Cadiz,"1            

                1"
2020-2021,15:15,Real Sociedad,Alaves,"4            

                0"
2020-2021,17:30,SD Huesca,Granada,"3            

                2"
2020-2021,20:00,Athletic Bilbao,Villarreal,"1            

                1"
2020-2021,13:00,Elche,Eibar,"1            

                0"
2020-2021,15:15,Atletico Madrid,Levante,"0            

                2"
2020-2021,17:30,Valencia,Celta Vigo,"2            

                0"
2020-2021,20:00,Real Valladolid,Real Madrid,"0            

                1"
2020-2021,20:00,Real Betis,Getafe,"1            

                0"
2020-2021,18:00,Levante,Atletico Madrid,"1            

                1"
2020-2021,20:00,Cadiz,Athletic Bilbao,"0            

                4"
2020-2021,13:00,Getafe,Real Sociedad,"0            

                1"
2020-2021,15:15,Real Madrid,Valencia,"2            

                0"
2020-2021,17:30,Levante,Osasuna,"0            

                1"
2020-2021,20:00,Villarreal,Real Betis,"1            

                2"
2020-2021,13:00,Granada,Atletico Madrid,"1            

                2"
2020-2021,15:15,Sevilla,SD Huesca,"1            

                0"
2020-2021,17:30,Eibar,Real Valladolid,"1            

                1"
2020-2021,20:00,Barcelona,Alaves,"5            

                1"
2020-2021,20:00,Celta Vigo,Elche,"3            

                1"
2020-2021,20:00,Real Madrid,Getafe,"2            

                0"
2020-2021,20:00,Atletico Madrid,Celta Vigo,"2            

                2"
2020-2021,13:00,Real Sociedad,Cadiz,"4            

                1"
2020-2021,15:15,Athletic Bilbao,Valencia,"1            

                1"
2020-2021,17:30,Osasuna,Eibar,"2            

                1"
2020-2021,20:00,Real Betis,Barcelona,"2            

                3"
2020-2021,13:00,Levante,Granada,"2            

                2"
2020-2021,15:15,SD Huesca,Real Madrid,"1            

                2"
2020-2021,17:30,Elche,Villarreal,"2            

                2"
2020-2021,20:00,Sevilla,Getafe,"3            

                0"
2020-2021,20:00,Alaves,Real Valladolid,"1            

                0"
2020-2021,20:00,Real Betis,Osasuna,"1            

                0"
2020-2021,13:00,Getafe,Alaves,"0            

                0"
2020-2021,15:15,Cadiz,Atletico Madrid,"2            

                4"
2020-2021,17:30,Granada,Celta Vigo,"0            

                0"
2020-2021,20:00,Barcelona,Athletic Bilbao,"2            

                1"
2020-2021,13:00,Eibar,Sevilla,"0            

                2"
2020-2021,15:15,Real Madrid,Levante,"1            

                2"
2020-2021,17:30,Valencia,Elche,"1            

                0"
2020-2021,20:00,Villarreal,Real Sociedad,"1            

                1"
2020-2021,20:00,Real Valladolid,SD Huesca,"1            

                3"
2020-2021,20:00,Athletic Bilbao,Getafe,"5            

                1"
2020-2021,13:00,Osasuna,Granada,"3            

                1"
2020-2021,15:15,Elche,Barcelona,"0            

                2"
2020-2021,17:30,Celta Vigo,Eibar,"1            

                1"
2020-2021,20:00,Atletico Madrid,Valencia,"3            

                1"
2020-2021,13:00,SD Huesca,Villarreal,"0            

                0"
2020-2021,15:15,Sevilla,Cadiz,"3            

                0"
2020-2021,17:30,Real Sociedad,Real Betis,"2            

                2"
2020-2021,20:00,Alaves,Real Madrid,"1            

                4"
2020-2021,20:00,Levante,Real Valladolid,"2            

                2"
2020-2021,18:00,Valencia,Osasuna,"1            

                1"
2020-2021,20:30,Eibar,Atletico Madrid,"1            

                2"
2020-2021,18:00,Getafe,SD Huesca,"1            

                0"
2020-2021,20:00,Real Betis,Celta Vigo,"2            

                1"
2020-2021,20:30,Villarreal,Granada,"2            

                2"
2021-2022,16:30,Elche,Getafe,"3            

                1"
2021-2022,19:00,Alaves,Cadiz,"0            

                1"
2021-2022,19:00,Granada,Espanyol,"0            

                0"
2021-2022,19:00,Osasuna,Real Mallorca,"0            

                2"
2021-2022,21:00,Barcelona,Villarreal,"0            

                2"
2021-2022,21:00,Real Sociedad,Atletico Madrid,"1            

                2"
2021-2022,21:00,Sevilla,Athletic Bilbao,"1            

                0"
2021-2022,16:30,Valencia,Celta Vigo,"2            

                0"
2021-2022,20:00,Rayo Vallecano,Levante,"2            

                4"
2021-2022,20:00,Real Madrid,Real Betis,"0            

                0"
2021-2022,18:30,Athletic Bilbao,Osasuna,"2            

                0"
2021-2022,18:30,Atletico Madrid,Sevilla,"1            

                1"
2021-2022,18:30,Cadiz,Real Madrid,"1            

                1"
2021-2022,18:30,Celta Vigo,Elche,"1            

                0"
2021-2022,18:30,Getafe,Barcelona,"0            

                0"
2021-2022,18:30,Levante,Alaves,"3            

                1"
2021-2022,18:30,Real Betis,Granada,"2            

                0"
2021-2022,18:30,Real Mallorca,Rayo Vallecano,"2            

                1"
2021-2022,18:30,Villarreal,Real Sociedad,"1            

                2"
2021-2022,17:30,Espanyol,Valencia,"1            

                1"
2021-2022,18:00,Real Sociedad,Cadiz,"3            

                0"
2021-2022,19:00,Rayo Vallecano,Villarreal,"1            

                5"
2021-2022,20:30,Real Madrid,Levante,"6            

                0"
2021-2022,18:00,Alaves,Espanyol,"2            

                1"
2021-2022,18:00,Osasuna,Getafe,"1            

                1"
2021-2022,19:30,Sevilla,Real Mallorca,"0            

                0"
2021-2022,20:30,Elche,Atletico Madrid,"0            

                2"
2021-2022,18:00,Valencia,Real Betis,"0            

                3"
2021-2022,19:00,Granada,Athletic Bilbao,"1            

                0"
2021-2022,20:30,Barcelona,Celta Vigo,"3            

                1"
2021-2022,13:00,Getafe,Rayo Vallecano,"0            

                0"
2021-2022,15:15,Villarreal,Sevilla,"1            

                1"
2021-2022,17:30,Espanyol,Osasuna,"1            

                1"
2021-2022,20:00,Atletico Madrid,Real Madrid,"1            

                0"
2021-2022,13:00,Real Mallorca,Granada,"2            

                6"
2021-2022,15:15,Athletic Bilbao,Valencia,"0            

                0"
2021-2022,17:30,Cadiz,Elche,"3            

                0"
2021-2022,17:30,Celta Vigo,Alaves,"4            

                0"
2021-2022,20:00,Real Betis,Barcelona,"1            

                2"
2021-2022,20:00,Levante,Real Sociedad,"2            

                1"
2021-2022,20:00,Getafe,Real Betis,"0            

                0"
2021-2022,13:00,Elche,Osasuna,"1            

                1"
2021-2022,15:15,Granada,Celta Vigo,"1            

                1"
2021-2022,17:30,Rayo Vallecano,Real Sociedad,"1            

                1"
2021-2022,20:00,Barcelona,Real Mallorca,"2            

                1"
2021-2022,13:00,Alaves,Villarreal,"2            

                1"
2021-2022,15:15,Real Madrid,Espanyol,"4            

                0"
2021-2022,17:30,Valencia,Levante,"1            

                1"
2021-2022,20:00,Athletic Bilbao,Atletico Madrid,"2            

                0"
2021-2022,20:00,Barcelona,Rayo Vallecano,"0            

                1"
2021-2022,18:00,Espanyol,Rayo Vallecano,"0            

                1"
2021-2022,18:00,Levante,Sevilla,"2            

                3"
2021-2022,19:00,Cadiz,Athletic Bilbao,"2            

                3"
2021-2022,20:30,Real Sociedad,Barcelona,"0            

                1"
2021-2022,18:00,Atletico Madrid,Granada,"0            

                0"
2021-2022,19:00,Celta Vigo,Getafe,"0            

                2"
2021-2022,20:30,Osasuna,Real Madrid,"1            

                3"
2021-2022,18:00,Real Mallorca,Alaves,"2            

                1"
2021-2022,20:00,Real Betis,Elche,"0            

                1"
2021-2022,20:30,Villarreal,Valencia,"2            

                0"
2021-2022,20:00,Barcelona,Cadiz,"0            

                1"
2021-2022,13:00,Granada,Levante,"1            

                4"
2021-2022,15:15,Atletico Madrid,Espanyol,"2            

                1"
2021-2022,17:30,Athletic Bilbao,Celta Vigo,"0            

                2"
2021-2022,20:00,Sevilla,Real Madrid,"2            

                3"
2021-2022,13:00,Elche,Real Mallorca,"3            

                0"
2021-2022,15:15,Alaves,Rayo Vallecano,"1            

                0"
2021-2022,17:30,Valencia,Osasuna,"1            

                2"
2021-2022,20:00,Getafe,Villarreal,"1            

                2"
2021-2022,20:00,Real Sociedad,Real Betis,"0            

                0"
2021-2022,20:00,Rayo Vallecano,Valencia,"1            

                1"
2021-2022,13:00,Osasuna,Alaves,"1            

                0"
2021-2022,15:15,Espanyol,Celta Vigo,"1            

                0"
2021-2022,17:30,Elche,Real Sociedad,"1            

                2"
2021-2022,20:00,Levante,Barcelona,"2            

                3"
2021-2022,13:00,Cadiz,Real Betis,"1            

                2"
2021-2022,15:15,Real Mallorca,Atletico Madrid,"1            

                0"
2021-2022,17:30,Villarreal,Athletic Bilbao,"1            

                1"
2021-2022,20:00,Real Madrid,Getafe,"2            

                0"
2021-2022,20:00,Sevilla,Granada,"4            

                2"
2021-2022,20:00,Real Sociedad,Espanyol,"1            

                0"
2021-2022,13:00,Athletic Bilbao,Elche,"2            

                1"
2021-2022,15:15,Real Betis,Osasuna,"4            

                1"
2021-2022,17:30,Granada,Rayo Vallecano,"2            

                2"
2021-2022,17:30,Valencia,Cadiz,"0            

                0"
2021-2022,20:00,Barcelona,Sevilla,"1            

                0"
2021-2022,13:00,Getafe,Real Mallorca,"1            

                0"
2021-2022,15:15,Levante,Villarreal,"2            

                0"
2021-2022,17:30,Celta Vigo,Real Madrid,"1            

                2"
2021-2022,20:00,Atletico Madrid,Alaves,"4            

                1"
2021-2022,13:00,Espanyol,Real Mallorca,"1            

                0"
2021-2022,15:15,Cadiz,Villarreal,"1            

                0"
2021-2022,15:15,Celta Vigo,Real Betis,"0            

                0"
2021-2022,17:30,Sevilla,Real Sociedad,"0            

                0"
2021-2022,20:00,Real Madrid,Barcelona,"0            

                4"
2021-2022,13:00,Alaves,Granada,"2            

                3"
2021-2022,15:15,Elche,Valencia,"0            

                1"
2021-2022,17:30,Osasuna,Levante,"3            

                1"
2021-2022,20:00,Rayo Vallecano,Atletico Madrid,"0            

                1"
2021-2022,20:00,Athletic Bilbao,Getafe,"1            

                1"
2021-2022,20:00,Real Mallorca,Real Madrid,"0            

                3"
2021-2022,13:00,Rayo Vallecano,Sevilla,"1            

                1"
2021-2022,15:15,Real Betis,Athletic Bilbao,"1            

                0"
2021-2022,17:30,Real Sociedad,Alaves,"1            

                0"
2021-2022,20:00,Barcelona,Osasuna,"4            

                0"
2021-2022,13:00,Levante,Espanyol,"1            

                1"
2021-2022,15:15,Granada,Elche,"0            

                1"
2021-2022,17:30,Villarreal,Celta Vigo,"1            

                0"
2021-2022,20:00,Getafe,Valencia,"0            

                0"
2021-2022,20:00,Atletico Madrid,Cadiz,"2            

                1"
2021-2022,20:00,Athletic Bilbao,Levante,"3            

                1"
2021-2022,13:00,Cadiz,Rayo Vallecano,"2            

                0"
2021-2022,15:15,Elche,Barcelona,"1            

                2"
2021-2022,17:30,Celta Vigo,Real Mallorca,"4            

                3"
2021-2022,20:00,Real Betis,Atletico Madrid,"1            

                3"
2021-2022,13:00,Osasuna,Villarreal,"1            

                0"
2021-2022,15:15,Espanyol,Getafe,"2            

                0"
2021-2022,17:30,Valencia,Granada,"3            

                1"
2021-2022,20:00,Real Madrid,Real Sociedad,"4            

                1"
2021-2022,20:00,Alaves,Sevilla,"0            

                0"
2021-2022,20:00,Real Mallorca,Real Sociedad,"0            

                2"
2021-2022,20:00,Granada,Cadiz,"0            

                0"
2021-2022,13:00,Villarreal,Espanyol,"5            

                1"
2021-2022,17:30,Real Sociedad,Osasuna,"1            

                0"
2021-2022,20:00,Barcelona,Athletic Bilbao,"4            

                0"
2021-2022,13:00,Real Mallorca,Valencia,"0            

                1"
2021-2022,15:15,Getafe,Alaves,"2            

                2"
2021-2022,17:30,Rayo Vallecano,Real Madrid,"0            

                1"
2021-2022,20:00,Atletico Madrid,Celta Vigo,"2            

                0"
2021-2022,20:00,Levante,Elche,"3            

                0"
2021-2022,20:00,Celta Vigo,Levante,"1            

                1"
2021-2022,13:00,Espanyol,Sevilla,"1            

                1"
2021-2022,15:15,Valencia,Barcelona,"1            

                4"
2021-2022,17:30,Real Betis,Real Mallorca,"2            

                1"
2021-2022,20:00,Athletic Bilbao,Real Sociedad,"4            

                0"
2021-2022,13:00,Granada,Villarreal,"1            

                4"
2021-2022,15:15,Osasuna,Atletico Madrid,"0            

                3"
2021-2022,17:30,Cadiz,Getafe,"1            

                1"
2021-2022,20:00,Real Madrid,Alaves,"3            

                0"
2021-2022,20:00,Elche,Rayo Vallecano,"2            

                1"
2021-2022,18:00,Atletico Madrid,Levante,"0            

                1"
2021-2022,20:00,Real Mallorca,Athletic Bilbao,"3            

                2"
2021-2022,13:00,Alaves,Valencia,"2            

                1"
2021-2022,15:15,Levante,Real Betis,"2            

                4"
2021-2022,17:30,Real Sociedad,Granada,"2            

                0"
2021-2022,20:00,Espanyol,Barcelona,"2            

                2"
2021-2022,13:00,Cadiz,Celta Vigo,"0            

                0"
2021-2022,15:15,Villarreal,Real Madrid,"0            

                0"
2021-2022,17:30,Rayo Vallecano,Osasuna,"0            

                3"
2021-2022,20:00,Atletico Madrid,Getafe,"4            

                3"
2021-2022,20:00,Sevilla,Elche,"2            

                0"
2021-2022,20:00,Athletic Bilbao,Espanyol,"2            

                1"
2021-2022,13:00,Valencia,Real Sociedad,"0            

                0"
2021-2022,15:15,Barcelona,Atletico Madrid,"4            

                2"
2021-2022,17:30,Real Betis,Villarreal,"0            

                2"
2021-2022,20:00,Real Madrid,Granada,"1            

                0"
2021-2022,13:00,Elche,Alaves,"3            

                1"
2021-2022,15:15,Real Mallorca,Cadiz,"2            

                1"
2021-2022,17:30,Celta Vigo,Rayo Vallecano,"2            

                0"
2021-2022,20:00,Osasuna,Sevilla,"0            

                0"
2021-2022,20:00,Getafe,Levante,"3            

                0"
2021-2022,13:00,Granada,Osasuna,"0            

                2"
2021-2022,15:15,Real Madrid,Elche,"2            

                2"
2021-2022,17:30,Rayo Vallecano,Athletic Bilbao,"0            

                1"
2021-2022,17:30,Real Sociedad,Getafe,"0            

                0"
2021-2022,20:00,Alaves,Barcelona,"0            

                1"
2021-2022,13:00,Levante,Cadiz,"0            

                2"
2021-2022,15:15,Villarreal,Real Mallorca,"3            

                0"
2021-2022,17:30,Sevilla,Celta Vigo,"2            

                2"
2021-2022,20:00,Atletico Madrid,Valencia,"3            

                2"
2021-2022,20:00,Espanyol,Real Betis,"1            

                4"
2021-2022,18:00,Getafe,Granada,"4            

                2"
2021-2022,18:00,Celta Vigo,Osasuna,"2            

                0"
2021-2022,20:30,Valencia,Sevilla,"1            

                1"
2021-2022,19:00,Real Betis,Alaves,"4            

                0"
2021-2022,20:30,Cadiz,Espanyol,"2            

                2"
2021-2022,13:00,Elche,Villarreal,"1            

                0"
2021-2022,20:00,Espanyol,Elche,"1            

                2"
2021-2022,13:00,Rayo Vallecano,Real Betis,"1            

                1"
2021-2022,15:15,Sevilla,Getafe,"1            

                0"
2021-2022,17:30,Alaves,Athletic Bilbao,"0            

                0"
2021-2022,17:30,Osasuna,Cadiz,"2            

                0"
2021-2022,20:00,Villarreal,Atletico Madrid,"2            

                2"
2021-2022,13:00,Levante,Real Mallorca,"2            

                0"
2021-2022,15:15,Real Sociedad,Celta Vigo,"1            

                0"
2021-2022,17:30,Granada,Barcelona,"1            

                1"
2021-2022,20:00,Real Madrid,Valencia,"4            

                1"
2021-2022,18:00,Villarreal,Levante,"5            

                0"
2021-2022,20:00,Osasuna,Athletic Bilbao,"1            

                3"
2021-2022,20:15,Cadiz,Sevilla,"0            

                1"
2021-2022,13:00,Getafe,Real Madrid,"1            

                0"
2021-2022,15:15,Atletico Madrid,Rayo Vallecano,"2            

                0"
2021-2022,15:15,Elche,Granada,"0            

                0"
2021-2022,17:30,Alaves,Real Sociedad,"1            

                1"
2021-2022,17:30,Real Betis,Celta Vigo,"0            

                2"
2021-2022,20:00,Real Mallorca,Barcelona,"0            

                1"
2021-2022,15:15,Valencia,Espanyol,"1            

                2"
2021-2022,18:00,Granada,Atletico Madrid,"2            

                1"
2021-2022,20:30,Athletic Bilbao,Real Madrid,"1            

                2"
2021-2022,18:00,Villarreal,Alaves,"5            

                2"
2022-2023,17:30,Osasuna,Girona,"2            

                1"
2022-2023,17:30,Real Madrid,Athletic Bilbao,"1            

                1"
2022-2023,17:30,Real Mallorca,Rayo Vallecano,"3            

                0"
2022-2023,17:30,Real Sociedad,Sevilla,"2            

                1"
2022-2023,17:30,Villarreal,Atletico Madrid,"2            

                2"
2022-2023,20:00,Celta Vigo,Barcelona,"2            

                1"
2022-2023,20:00,Elche,Cadiz,"1            

                1"
2022-2023,20:00,Espanyol,Almeria,"3            

                3"
2022-2023,20:00,Real Betis,Valencia,"1            

                1"
2022-2023,20:00,Real Valladolid,Getafe,"0            

                0"
2022-2023,18:00,Almeria,Real Valladolid,"0            

                0"
2022-2023,18:00,Athletic Bilbao,Elche,"0            

                1"
2022-2023,18:00,Atletico Madrid,Real Sociedad,"2            

                1"
2022-2023,18:00,Barcelona,Real Mallorca,"3            

                0"
2022-2023,18:00,Cadiz,Celta Vigo,"1            

                0"
2022-2023,18:00,Getafe,Osasuna,"2            

                1"
2022-2023,18:00,Girona,Real Betis,"1            

                2"
2022-2023,18:00,Rayo Vallecano,Villarreal,"2            

                1"
2022-2023,18:00,Valencia,Espanyol,"2            

                2"
2022-2023,18:00,Sevilla,Real Madrid,"1            

                2"
2022-2023,18:30,Real Mallorca,Valencia,"1            

                0"
2022-2023,20:30,Osasuna,Athletic Bilbao,"2            

                0"
2022-2023,18:30,Elche,Sevilla,"1            

                1"
2022-2023,18:30,Real Madrid,Rayo Vallecano,"2            

                1"
2022-2023,18:30,Villarreal,Cadiz,"2            

                0"
2022-2023,21:00,Espanyol,Atletico Madrid,"3            

                3"
2022-2023,21:00,Real Betis,Getafe,"0            

                1"
2022-2023,18:30,Celta Vigo,Girona,"1            

                1"
2022-2023,18:30,Real Sociedad,Almeria,"1            

                0"
2022-2023,21:00,Real Valladolid,Barcelona,"3            

                1"
